ID,PROBABILITY_OF_DEFAULT,CREDIT_SCORE,RISK_BAND
5008980,0.47884938,362,Very High Risk
5008984,0.056728974,530,Very High Risk
5008988,0.0028019433,625,High Risk
5008991,0.08162527,510,Very High Risk
5008993,0.0669982,522,Very High Risk
5008994,0.11167488,489,Very High Risk
5008995,0.209774,435,Very High Risk
5009000,0.0004949541,697,High Risk
5009016,0.00040915853,715,Medium Risk
5009018,5.61297e-05,884,Low Risk
5009019,0.4749799,362,Very High Risk
5009020,0.37395534,382,Very High Risk
5009022,0.00085424713,659,High Risk
5009023,0.00065923214,674,High Risk
5009025,0.0005563728,688,High Risk
5009027,0.03992282,548,Very High Risk
5009029,0.00027554616,759,Medium Risk
5009031,0.011369365,597,Very High Risk
5009032,0.011369365,597,Very High Risk
5009033,0.02182001,575,Very High Risk
5009034,0.00030869307,746,Medium Risk
5009036,0.0006449521,676,High Risk
5009037,0.11437024,488,Very High Risk
5009038,0.0022826358,629,High Risk
5009042,0.51067644,358,Very High Risk
5009043,0.5607953,352,Very High Risk
5009044,0.8850565,322,Very High Risk
5009045,0.8850565,322,Very High Risk
5009050,0.0001995793,793,Medium Risk
5009051,0.80482423,330,Very High Risk
5009052,0.45980585,365,Very High Risk
5009053,0.0001995793,793,Medium Risk
5009055,0.003488473,622,High Risk
5009062,0.018757734,581,Very High Risk
5009063,0.0023629104,628,High Risk
5009066,0.0074825776,607,High Risk
5009068,0.001297604,641,High Risk
5009069,0.12994501,477,Very High Risk
5009070,0.018757734,581,Very High Risk
5009071,0.09892697,497,Very High Risk
5009072,0.21441703,433,Very High Risk
5009074,0.10928788,491,Very High Risk
5009075,0.1621811,459,Very High Risk
5009078,0.00030157858,748,Medium Risk
5009079,0.00016641141,812,Low Risk
5009080,0.54781526,354,Very High Risk
5009081,0.040194232,548,Very High Risk
5009083,7.5029806e-05,873,Low Risk
5009088,0.5251952,356,Very High Risk
5009089,0.49849594,359,Very High Risk
5009090,0.17835203,451,Very High Risk
5009096,0.00044522117,707,Medium Risk
5009097,0.07109253,518,Very High Risk
5009098,0.00022928842,779,Medium Risk
5009099,0.21140347,434,Very High Risk
5009100,0.21201852,434,Very High Risk
5009103,6.6642315e-05,878,Low Risk
5009104,0.0049407906,616,High Risk
5009105,0.0046546794,617,High Risk
5009106,0.047959484,539,Very High Risk
5009109,3.928991e-05,891,Low Risk
5009116,6.42265e-05,879,Low Risk
5009117,0.00021649637,785,Medium Risk
5009118,6.42265e-05,879,Low Risk
5009120,6.42265e-05,879,Low Risk
5009122,6.42265e-05,879,Low Risk
5009123,0.0002356392,776,Medium Risk
5009124,6.42265e-05,879,Low Risk
5009125,0.00014735447,824,Low Risk
5009126,6.42265e-05,879,Low Risk
5009127,0.000119008604,844,Low Risk
5009128,6.42265e-05,879,Low Risk
5009130,0.000119008604,844,Low Risk
5009131,6.42265e-05,879,Low Risk
5009133,5.589148e-05,884,Low Risk
5009134,5.9010355e-05,882,Low Risk
5009136,4.6881876e-05,888,Low Risk
5009138,0.11459488,487,Very High Risk
5009141,0.0005348662,690,High Risk
5009145,0.00027314504,760,Medium Risk
5009146,0.00068422384,671,High Risk
5009147,6.0329756e-05,881,Low Risk
5009150,0.00036546544,727,Medium Risk
5009151,0.0001758557,806,Low Risk
5009152,0.0005359187,690,High Risk
5009153,0.0005359187,690,High Risk
5009154,0.0002256845,780,Medium Risk
5009155,0.00021877792,784,Medium Risk
5009156,0.00014200251,827,Low Risk
5009157,0.0005359187,690,High Risk
5009158,0.00043841504,709,Medium Risk
5009159,0.00013565886,832,Low Risk
5009160,0.00025931693,765,Medium Risk
5009161,0.0005305288,691,High Risk
5009162,0.0005359187,690,High Risk
5009163,0.01208669,595,Very High Risk
5009164,0.15831898,461,Very High Risk
5009165,0.15831898,461,Very High Risk
5009166,0.15831898,461,Very High Risk
5009168,0.15831898,461,Very High Risk
5009170,0.00012725424,838,Low Risk
5009177,0.5553729,353,Very High Risk
5009178,0.585512,349,Very High Risk
5009179,9.706115e-05,857,Low Risk
5009180,0.58617187,349,Very High Risk
5009181,0.045920864,542,Very High Risk
5009182,8.929789e-05,862,Low Risk
5009183,9.295002e-05,860,Low Risk
5009188,0.00057572074,685,High Risk
5009189,0.00037451918,725,Medium Risk
5009190,0.0006718026,673,High Risk
5009191,0.00045596113,705,Medium Risk
5009192,0.0003903489,721,Medium Risk
5009193,0.9279163,315,Very High Risk
5009198,0.8449371,326,Very High Risk
5009203,0.004010592,620,High Risk
5009206,0.045996655,542,Very High Risk
5009207,0.14692274,468,Very High Risk
5009208,0.1417274,471,Very High Risk
5009209,0.8449371,326,Very High Risk
5009213,0.17322254,453,Very High Risk
5009215,0.9509961,310,Very High Risk
5009220,0.00026921797,761,Medium Risk
5009222,0.43159616,370,Very High Risk
5009223,0.54033643,354,Very High Risk
5009224,0.00022607087,780,Medium Risk
5009225,0.121760264,482,Very High Risk
5009226,0.43159616,370,Very High Risk
5009227,0.25374112,417,Very High Risk
5009232,0.00049640087,697,High Risk
5009233,0.43159616,370,Very High Risk
5009234,0.009170364,602,High Risk
5009236,0.2773409,409,Very High Risk
5009238,0.00017428523,807,Low Risk
5009239,0.00025671747,766,Medium Risk
5009240,0.00023854876,775,Medium Risk
5009242,4.5800887e-05,888,Low Risk
5009246,0.050222356,536,Very High Risk
5009247,0.00045665292,705,Medium Risk
5009248,0.00029738917,750,Medium Risk
5009249,0.0012224708,643,High Risk
5009251,0.0012224708,643,High Risk
5009252,0.0002445054,772,Medium Risk
5009253,0.0006508897,675,High Risk
5009260,7.3060546e-05,874,Low Risk
5009261,0.0002272944,779,Medium Risk
5009263,0.21469176,433,Very High Risk
5009265,8.313375e-05,867,Low Risk
5009266,2.4702802e-05,897,Low Risk
5009267,1.9961164e-05,898,Low Risk
5009268,8.8928915e-05,862,Low Risk
5009269,7.554601e-05,873,Low Risk
5009270,0.16310096,458,Very High Risk
5009271,0.20374872,438,Very High Risk
5009272,0.15048313,466,Very High Risk
5009274,0.47931638,362,Very High Risk
5009275,0.08218827,510,Very High Risk
5009276,0.025992054,569,Very High Risk
5009277,0.1548807,463,Very High Risk
5009278,0.001786357,633,High Risk
5009279,0.053492323,533,Very High Risk
5009280,0.070670016,519,Very High Risk
5009281,0.06263378,525,Very High Risk
5009284,0.00023399277,776,Medium Risk
5009285,0.09435545,500,Very High Risk
5009286,0.047023315,540,Very High Risk
5009287,0.051574536,535,Very High Risk
5009290,0.001786357,633,High Risk
5009292,0.022577254,574,Very High Risk
5009293,0.00028888037,754,Medium Risk
5009294,0.000118654505,844,Low Risk
5009295,0.5080019,358,Very High Risk
5009297,0.72942007,337,Very High Risk
5009299,0.9200187,317,Very High Risk
5009300,0.048887268,538,Very High Risk
5009302,0.00018792496,800,Low Risk
5009303,0.19372386,443,Very High Risk
5009304,0.020578226,577,Very High Risk
5009305,0.015439275,587,Very High Risk
5009306,0.24572946,420,Very High Risk
5009307,0.1590975,460,Very High Risk
5009308,0.00012271892,841,Low Risk
5009309,0.00013617845,831,Low Risk
5009310,0.20835593,436,Very High Risk
5009311,0.22137329,430,Very High Risk
5009312,0.0002618468,764,Medium Risk
5009313,0.017890213,582,Very High Risk
5009315,0.047800753,539,Very High Risk
5009316,0.1786585,450,Very High Risk
5009317,0.047800753,539,Very High Risk
5009319,0.00015798365,817,Low Risk
5009325,0.022871882,574,Very High Risk
5009327,0.019513883,579,Very High Risk
5009329,0.019513883,579,Very High Risk
5009330,8.356048e-05,866,Low Risk
5009331,0.019513883,579,Very High Risk
5009332,0.037782878,551,Very High Risk
5009333,0.0014102207,639,High Risk
5009336,0.2040995,438,Very High Risk
5009337,0.2040995,438,Very High Risk
5009338,0.000532498,690,High Risk
5009339,0.004824957,616,High Risk
5009340,0.40365455,376,Very High Risk
5009341,0.40365455,376,Very High Risk
5009342,0.20643976,437,Very High Risk
5009343,0.20643976,437,Very High Risk
5009344,0.10608278,492,Very High Risk
5009345,0.16572274,457,Very High Risk
5009349,0.11804876,485,Very High Risk
5009355,0.43405196,370,Very High Risk
5009358,0.007171081,608,High Risk
5009359,0.002058047,631,High Risk
5009361,0.0002214394,782,Medium Risk
5009362,0.29226148,404,Very High Risk
5009363,0.000108368506,850,Low Risk
5009365,0.19776271,441,Very High Risk
5009366,0.00019451097,796,Medium Risk
5009367,0.4666404,364,Very High Risk
5009368,3.6847887e-05,892,Low Risk
5009373,0.010581241,599,Very High Risk
5009378,0.0004119113,714,Medium Risk
5009383,0.090400845,503,Very High Risk
5009384,0.12010742,483,Very High Risk
5009389,0.00016445495,813,Low Risk
5009391,0.59958774,348,Very High Risk
5009392,0.02206456,575,Very High Risk
5009393,0.00010260848,853,Low Risk
5009396,0.00030131504,748,Medium Risk
5009397,0.000188042,800,Low Risk
5009398,0.4085883,375,Very High Risk
5009399,0.000188042,800,Low Risk
5009400,0.00029807352,750,Medium Risk
5009401,0.00023764661,775,Medium Risk
5009403,0.26433432,413,Very High Risk
5009405,0.0033065323,623,High Risk
5009406,0.0033065323,623,High Risk
5009408,0.027347967,567,Very High Risk
5009410,0.023471242,573,Very High Risk
5009420,0.00036804593,727,Medium Risk
5009424,0.00019595887,795,Medium Risk
5009425,0.2763326,409,Very High Risk
5009428,0.15483291,463,Very High Risk
5009431,7.3182295e-05,874,Low Risk
5009435,0.0007435009,666,High Risk
5009445,0.90071815,320,Very High Risk
5009448,0.0035716272,621,High Risk
5009450,0.0006405565,677,High Risk
5009451,0.0006606854,674,High Risk
5009452,0.0006606854,674,High Risk
5009453,0.1896178,445,Very High Risk
5009454,0.00065205793,675,High Risk
5009455,0.0007128372,669,High Risk
5009456,0.00028979426,753,Medium Risk
5009457,0.20344692,438,Very High Risk
5009458,0.014719165,589,Very High Risk
5009465,0.00015650394,818,Low Risk
5009466,0.22035661,431,Very High Risk
5009468,0.10528955,493,Very High Risk
5009470,0.19876294,440,Very High Risk
5009471,0.0054633664,613,High Risk
5009472,0.38225892,381,Very High Risk
5009473,0.01957725,579,Very High Risk
5009480,0.00041570037,713,Medium Risk
5009481,0.018649014,581,Very High Risk
5009484,9.581619e-05,858,Low Risk
5009487,0.00020469303,791,Medium Risk
5009488,0.12991688,477,Very High Risk
5009489,0.18859102,445,Very High Risk
5009490,0.51554525,357,Very High Risk
5009492,0.0004498936,706,Medium Risk
5009493,0.00019806219,794,Medium Risk
5009495,0.00041321584,714,Medium Risk
5009497,0.030037353,562,Very High Risk
5009498,0.030149328,562,Very High Risk
5009499,0.00021002983,788,Medium Risk
5009500,0.00033621688,736,Medium Risk
5009502,0.030037353,562,Very High Risk
5009503,0.18241073,449,Very High Risk
5009509,0.34582323,389,Very High Risk
5009510,0.057089694,530,Very High Risk
5009512,0.0002505066,769,Medium Risk
5009515,0.18219018,449,Very High Risk
5009516,0.13469899,475,Very High Risk
5009517,0.00027799624,757,Medium Risk
5009519,0.49691635,360,Very High Risk
5009524,0.9758649,305,Very High Risk
5009525,0.68669564,340,Very High Risk
5009526,0.0140210455,591,Very High Risk
5009527,0.5009112,359,Very High Risk
5009529,0.0140210455,591,Very High Risk
5009530,0.092642516,501,Very High Risk
5009531,0.03694439,552,Very High Risk
5009534,0.36956456,383,Very High Risk
5009535,0.00037446455,725,Medium Risk
5009536,0.00037077378,726,Medium Risk
5009537,0.41426992,374,Very High Risk
5009540,0.0003337468,736,Medium Risk
5009541,0.000732953,667,High Risk
5009543,0.116657354,486,Very High Risk
5009545,0.28939536,405,Very High Risk
5009546,0.24234888,422,Very High Risk
5009551,0.28939536,405,Very High Risk
5009554,0.00013679691,831,Low Risk
5009555,0.029755872,563,Very High Risk
5009557,0.21051612,435,Very High Risk
5009558,0.24234888,422,Very High Risk
5009559,0.20876972,435,Very High Risk
5009560,0.093362674,501,Very High Risk
5009561,0.20191321,439,Very High Risk
5009565,0.1423899,470,Very High Risk
5009567,0.093802005,501,Very High Risk
5009568,0.0077413563,606,High Risk
5009569,0.0077413563,606,High Risk
5009570,0.067278795,522,Very High Risk
5009571,0.00037794496,724,Medium Risk
5009572,0.082285896,509,Very High Risk
5009573,0.008700261,603,High Risk
5009575,0.001279266,642,High Risk
5009577,0.35924852,386,Very High Risk
5009578,0.22364779,429,Very High Risk
5009580,0.35924852,386,Very High Risk
5009582,0.8653372,324,Very High Risk
5009583,0.0027203797,625,High Risk
5009584,0.8653372,324,Very High Risk
5009585,0.06829115,521,Very High Risk
5009593,0.39849582,377,Very High Risk
5009595,0.35097232,388,Very High Risk
5009597,0.41282338,374,Very High Risk
5009599,0.35097232,388,Very High Risk
5009600,0.52053803,357,Very High Risk
5009602,0.0009790779,652,High Risk
5009603,0.12805721,479,Very High Risk
5009607,0.27750805,409,Very High Risk
5009608,0.008414585,604,High Risk
5009609,0.21518685,433,Very High Risk
5009611,0.27750805,409,Very High Risk
5009612,0.008414585,604,High Risk
5009613,0.023545165,573,Very High Risk
5009617,5.0903276e-05,886,Low Risk
5009618,3.910044e-05,891,Low Risk
5009620,0.00040092188,718,Medium Risk
5009622,0.00029288433,752,Medium Risk
5009623,0.41860658,373,Very High Risk
5009625,0.0007534045,665,High Risk
5009627,0.43855113,369,Very High Risk
5009628,0.8374332,327,Very High Risk
5009629,0.0011100824,646,High Risk
5009631,0.0009313999,654,High Risk
5009632,0.0014981084,637,High Risk
5009633,0.13986254,472,Very High Risk
5009636,0.04442875,543,Very High Risk
5009637,0.08799004,505,Very High Risk
5009638,0.004729085,617,High Risk
5009639,0.08338776,508,Very High Risk
5009643,0.3136711,398,Very High Risk
5009646,0.0005873403,683,High Risk
5009647,0.00017991148,804,Low Risk
5009648,0.013172675,592,Very High Risk
5009651,0.20675127,437,Very High Risk
5009654,0.17552572,452,Very High Risk
5009656,0.08136171,510,Very High Risk
5009658,0.00023362607,777,Medium Risk
5009660,0.0004513513,706,Medium Risk
5009661,0.00028960838,753,Medium Risk
5009662,0.00033977666,735,Medium Risk
5009663,7.514387e-05,873,Low Risk
5009664,0.42939204,371,Very High Risk
5009665,0.45476082,366,Very High Risk
5009666,0.42939204,371,Very High Risk
5009673,0.00036315047,728,Medium Risk
5009674,0.00029069665,753,Medium Risk
5009675,0.0007827325,664,High Risk
5009676,0.0006814766,672,High Risk
5009677,0.00041119725,715,Medium Risk
5009678,0.00050766853,695,High Risk
5009680,0.0002810905,756,Medium Risk
5009681,0.00029069665,753,Medium Risk
5009682,0.028796371,564,Very High Risk
5009683,0.00035436335,731,Medium Risk
5009684,0.0006625323,674,High Risk
5009685,0.0006241927,679,High Risk
5009686,0.00043981083,708,Medium Risk
5009687,0.00025049585,769,Medium Risk
5009688,0.015699642,587,Very High Risk
5009689,0.17384118,453,Very High Risk
5009690,0.036067776,553,Very High Risk
5009691,0.036067776,553,Very High Risk
5009693,0.03895427,550,Very High Risk
5009694,0.9741105,305,Very High Risk
5009698,0.9524521,310,Very High Risk
5009703,0.00028041835,757,Medium Risk
5009704,0.00031100758,744,Medium Risk
5009705,0.0006927499,671,High Risk
5009707,0.107163884,491,Very High Risk
5009713,0.9211562,316,Very High Risk
5009714,0.9211562,316,Very High Risk
5009715,0.00056962064,685,High Risk
5009716,0.6642926,342,Very High Risk
5009717,0.0015455312,636,High Risk
5009718,0.9211562,316,Very High Risk
5009719,0.694436,339,Very High Risk
5009722,0.00073215686,667,High Risk
5009724,0.0011654578,645,High Risk
5009727,0.23261294,426,Very High Risk
5009732,0.0023651663,628,High Risk
5009733,0.0020339515,631,High Risk
5009734,0.0023651663,628,High Risk
5009736,0.024395525,571,Very High Risk
5009739,0.024395525,571,Very High Risk
5009740,0.05029952,536,Very High Risk
5009741,0.020980557,577,Very High Risk
5009742,0.124315456,481,Very High Risk
5009743,0.26576906,412,Very High Risk
5009744,0.9960199,300,Very High Risk
5009745,0.00059480953,682,High Risk
5009746,0.99874216,300,Very High Risk
5009748,0.00038110005,723,Medium Risk
5009749,0.9948389,301,Very High Risk
5009750,0.7395203,336,Very High Risk
5009751,0.0008933503,657,High Risk
5009752,0.99816626,300,Very High Risk
5009753,0.99778736,300,Very High Risk
5009754,0.99774915,300,Very High Risk
5009755,0.0030119582,624,High Risk
5009757,0.00042369062,712,Medium Risk
5009758,0.0004104815,715,Medium Risk
5009759,0.43742082,369,Very High Risk
5009761,0.00026208736,764,Medium Risk
5009762,0.00022241294,782,Medium Risk
5009764,0.010442445,600,High Risk
5009765,0.0005045985,695,High Risk
5009766,0.07195852,518,Very High Risk
5009767,0.010442445,600,High Risk
5009768,0.14178601,471,Very High Risk
5009773,0.087123804,505,Very High Risk
5009774,0.003953745,620,High Risk
5009775,0.010442445,600,High Risk
5009777,0.00022241294,782,Medium Risk
5009783,6.103946e-05,881,Low Risk
5009784,6.103946e-05,881,Low Risk
5009790,0.20624484,437,Very High Risk
5009792,0.33870992,391,Very High Risk
5009799,0.00028640754,755,Medium Risk
5009804,0.00028103852,756,Medium Risk
5009806,0.25682196,416,Very High Risk
5009807,0.04689573,540,Very High Risk
5009808,0.21121563,434,Very High Risk
5009809,0.16518512,457,Very High Risk
5009810,0.6218029,346,Very High Risk
5009811,0.2714816,411,Very High Risk
5009812,0.21121563,434,Very High Risk
5009813,0.015119243,588,Very High Risk
5009814,0.07545115,514,Very High Risk
5009816,0.2714816,411,Very High Risk
5009817,0.0005760712,684,High Risk
5009821,0.006391197,610,High Risk
5009822,0.14912686,466,Very High Risk
5009823,0.14912686,466,Very High Risk
5009824,0.13860519,472,Very High Risk
5009826,0.5926774,349,Very High Risk
5009827,0.10118492,495,Very High Risk
5009828,0.5926774,349,Very High Risk
5009829,0.10480386,493,Very High Risk
5009830,0.10118492,495,Very High Risk
5009831,4.0716703e-05,891,Low Risk
5009833,0.00020802626,789,Medium Risk
5009835,3.7586447e-05,892,Low Risk
5009836,0.0002915846,753,Medium Risk
5009839,0.00083060126,660,High Risk
5009841,0.00076277315,665,High Risk
5009843,0.00070511724,669,High Risk
5009844,0.003647503,621,High Risk
5009845,0.00030858302,746,Medium Risk
5009846,0.00043368252,710,Medium Risk
5009847,0.0001516628,821,Low Risk
5009848,0.21220395,434,Very High Risk
5009849,0.22976069,427,Very High Risk
5009850,0.071397685,518,Very High Risk
5009851,0.028029663,565,Very High Risk
5009853,0.10308664,494,Very High Risk
5009857,0.20572403,437,Very High Risk
5009858,3.0276036e-05,895,Low Risk
5009859,0.14345707,470,Very High Risk
5009860,0.006742926,609,High Risk
5009864,0.13588355,474,Very High Risk
5009865,0.05212357,535,Very High Risk
5009866,0.072357565,517,Very High Risk
5009867,0.05607494,531,Very High Risk
5009868,0.17252557,453,Very High Risk
5009872,0.34819338,388,Very High Risk
5009873,0.9320453,315,Very High Risk
5009875,0.9320453,315,Very High Risk
5009882,0.000777226,664,High Risk
5009884,0.0007436788,666,High Risk
5009886,0.3394418,390,Very High Risk
5009887,0.46541107,364,Very High Risk
5009889,0.00015737518,817,Low Risk
5009890,0.00032871586,738,Medium Risk
5009893,0.038285624,551,Very High Risk
5009894,0.957265,309,Very High Risk
5009900,0.0012118506,644,High Risk
5009903,0.0006151587,679,High Risk
5009906,0.00058926665,683,High Risk
5009907,0.00023079284,778,Medium Risk
5009909,0.89275604,321,Very High Risk
5009910,0.00074466027,666,High Risk
5009911,0.0018307815,633,High Risk
5009914,0.1536737,464,Very High Risk
5009915,0.0007819415,664,High Risk
5009916,0.7932247,332,Very High Risk
5009917,0.8194466,329,Very High Risk
5009918,0.0031954586,623,High Risk
5009919,0.0012350125,643,High Risk
5009922,0.02593351,569,Very High Risk
5009923,0.0002995061,749,Medium Risk
5009924,0.2819574,407,Very High Risk
5009927,0.20316087,438,Very High Risk
5009928,0.0021609406,630,High Risk
5009929,0.20097218,439,Very High Risk
5009930,0.0015652963,636,High Risk
5009938,0.19736165,441,Very High Risk
5009943,0.000106622574,851,Low Risk
5009944,0.25044265,418,Very High Risk
5009945,0.08060745,511,Very High Risk
5009946,7.869465e-05,870,Low Risk
5009947,7.869465e-05,870,Low Risk
5009950,0.019527702,579,Very High Risk
5009952,0.00015771814,817,Low Risk
5009954,0.00026164742,764,Medium Risk
5009955,0.80184543,331,Very High Risk
5009957,0.0004409651,708,Medium Risk
5009960,0.00041472923,714,Medium Risk
5009965,0.00332009,623,High Risk
5009966,0.00023981006,774,Medium Risk
5009967,0.34667858,389,Very High Risk
5009968,8.552892e-05,865,Low Risk
5009969,0.2581214,415,Very High Risk
5009970,0.00016480799,813,Low Risk
5009979,0.0030627367,624,High Risk
5009983,0.048512377,538,Very High Risk
5009988,0.002276514,629,High Risk
5009989,0.03899659,550,Very High Risk
5009990,0.03899659,550,Very High Risk
5009991,0.016600104,585,Very High Risk
5009993,0.24784619,419,Very High Risk
5009995,7.303457e-05,874,Low Risk
5009997,0.2722897,410,Very High Risk
5009998,0.24820244,419,Very High Risk
5009999,9.525973e-05,858,Low Risk
5010000,0.00031347535,744,Medium Risk
5010001,0.20715548,436,Very High Risk
5010002,0.0002997275,749,Medium Risk
5010003,0.00042621576,711,Medium Risk
5010004,0.00051131396,694,High Risk
5010006,0.0068267216,608,High Risk
5010009,8.42272e-05,866,Low Risk
5010017,0.22789681,427,Very High Risk
5010018,0.0005945485,682,High Risk
5010020,0.00030975675,745,Medium Risk
5010021,0.00022747737,779,Medium Risk
5010026,0.00052584894,691,High Risk
5010027,0.45057738,367,Very High Risk
5010028,0.00036134024,729,Medium Risk
5010036,0.0041475096,619,High Risk
5010038,0.055164617,532,Very High Risk
5010039,0.0049422397,616,High Risk
5010041,2.2369977e-05,897,Low Risk
5010042,2.3628141e-05,897,Low Risk
5010043,2.3628141e-05,897,Low Risk
5010046,2.4831623e-05,897,Low Risk
5010047,0.000105749554,851,Low Risk
5010048,2.3628141e-05,897,Low Risk
5010052,9.980718e-05,855,Low Risk
5010055,7.1823684e-05,875,Low Risk
5010058,0.05431007,533,Very High Risk
5010059,0.052511364,535,Very High Risk
5010061,0.6841504,340,Very High Risk
5010062,0.5532455,353,Very High Risk
5010064,0.001150512,646,High Risk
5010066,0.14024137,471,Very High Risk
5010067,0.89590275,320,Very High Risk
5010068,0.48353606,361,Very High Risk
5010072,0.09306177,501,Very High Risk
5010073,0.29192373,404,Very High Risk
5010075,0.5232687,357,Very High Risk
5010076,0.07541496,514,Very High Risk
5010077,0.00020122911,793,Medium Risk
5010081,0.05606121,531,Very High Risk
5010085,0.17467694,452,Very High Risk
5010087,3.718146e-05,892,Low Risk
5010088,0.00088175194,657,High Risk
5010090,0.00021364764,786,Medium Risk
5010091,0.00019906826,794,Medium Risk
5010092,0.00013454043,833,Low Risk
5010099,0.000251239,769,Medium Risk
5010101,0.04845373,538,Very High Risk
5010102,0.04916459,537,Very High Risk
5010104,0.4222292,372,Very High Risk
5010105,0.5956592,348,Very High Risk
5010108,0.124504775,480,Very High Risk
5010109,0.124504775,480,Very High Risk
5010110,0.124504775,480,Very High Risk
5010111,0.16268332,459,Very High Risk
5010113,0.08363778,508,Very High Risk
5010114,0.81698686,329,Very High Risk
5010116,0.21102528,434,Very High Risk
5010117,0.00014792406,823,Low Risk
5010119,0.00010008882,855,Low Risk
5010120,0.0005467484,688,High Risk
5010122,0.00032490047,740,Medium Risk
5010123,0.014848889,589,Very High Risk
5010127,0.00029175062,752,Medium Risk
5010128,0.3799658,381,Very High Risk
5010129,0.00016799038,811,Low Risk
5010133,0.00014150712,827,Low Risk
5010135,0.0008689997,658,High Risk
5010137,0.00057485275,685,High Risk
5010139,0.22690356,428,Very High Risk
5010140,5.7795103e-05,883,Low Risk
5010143,0.22690356,428,Very High Risk
5010145,0.19711702,441,Very High Risk
5010146,0.22690356,428,Very High Risk
5010147,0.32301465,395,Very High Risk
5010150,0.00027332426,760,Medium Risk
5010151,0.32301465,395,Very High Risk
5010152,0.00038266456,723,Medium Risk
5010153,0.00038133355,723,Medium Risk
5010154,0.00047415184,701,Medium Risk
5010156,0.37157157,383,Very High Risk
5010160,0.00888741,603,High Risk
5010161,0.014086535,590,Very High Risk
5010163,0.020675387,577,Very High Risk
5010164,0.06654457,522,Very High Risk
5010166,0.1945001,443,Very High Risk
5010170,0.6109946,347,Very High Risk
5010172,0.074577905,515,Very High Risk
